Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read
Marvel Comics,Fantastic Four,Fantastic Four #1,2025-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #2,2025-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #3,2025-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #4,2025-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #5,2025-01-01,1,0,0
Marvel Comics,Nebula,Nebula #1,2024-01-01,1,0,0
Marvel Comics,Vengeance of the Moon Knight,Vengeance of the Moon Knight #6,2024-01-01,1,0,0
Marvel Comics,Moon Knight,Moon Knight #1,2024-01-01,1,0,0
Marvel Comics,Iron Man,Iron Man #4,2024-01-01,1,0,0
Marvel Comics,Captain America,Captain America #10,2024-01-01,1,0,0
DC Comics,Batman Black & White,Batman Black & White #3,2024-01-01,1,0,0
DC Comics,Superman/Spider-Man,Superman/Spider-Man #1,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #1,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #2,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #3,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #4,2024-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #5,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #6,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #7,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #8,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #9,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #12,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #15,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #16,2025-01-01,1,0,0
DC Comics,Absolute Batman,Absolute Batman #19,2026-01-01,1,0,0
DC Comics,Absolute Batman Annual,Absolute Batman Annual #1,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #1,2024-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #2,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #3,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #4,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #5,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #6,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #7,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #8,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #16,2025-01-01,1,0,0
DC Comics,Absolute Superman,Absolute Superman #19,2026-01-01,1,0,0
DC Comics,Absolute Wonder Woman,Absolute Wonder Woman #1,2024-01-01,1,0,0
DC Comics,Absolute Wonder Woman,Absolute Wonder Woman #2,,1,0,0
DC Comics,Absolute Green Lantern,Absolute Green Lantern #1,2024-01-01,1,0,0
DC Comics,Absolute Green Lantern,Absolute Green Lantern #2,2025-01-01,1,0,0
DC Comics,Martian Manhunter,Martian Manhunter #1,2024-01-01,1,0,0
DC Comics,Martian Manhunter,Martian Manhunter #2,2024-01-01,1,0,0
DC Comics,Martian Manhunter,Martian Manhunter #3,2024-01-01,1,0,0
DC Comics,Birds of Prey,Birds of Prey #24,2025-01-01,1,0,0
DC Comics,Wonder Woman,Wonder Woman #30,2025-01-01,1,0,0
